,Title
4915,"Comparison of mercury in atmospheric deposition and in Illinois and USA
"
6055,"Joint statistical correction of clutters, spokes and beam height for a
"
2211,"Water, vapour and heat transport in concrete cells for storing
"
4332,"Sediment transport modelling in riverine environments: on the importance
"
10919,"Urban hydrologic trend analysis based on rainfall and runoff data
"
9476,River evaporation and corresponding heat fluxes in forested catchments
38112,"Using terrigenic He-4 to identify and quantify regional groundwater
"
3098,Adaptive water infrastructure planning for nonstationary hydrology
3196,"A mixture theory approach to model co- and counter-current two-phase
"
3869,"Towards a simple representation of chalk hydrology in land surface
"
11038,"Tillage-induced surface roughness and topographic conditions for rill
"
9595,"River discharge, land use change, and surface water quality in the
"
1712,"Response to comment by AG Slater, MP Clark, and AP Barrett on
"
39289,"How runoff begins ( and ends): Characterizing hydrologic response at the
"
39383,"Multiobjective optimization of water distribution systems accounting for
"
6478,"Development of streamflow drought severity-duration-frequency curves
"
38376,"Spreading and convective dissolution of carbon dioxide in vertically
"
1939,"Monitoring water transport in sandstone using flow propagators: A
"
2292,"An analytical solution for predicting the transient seepage from a
"
9434,"Modelling snow water equivalent and spring runoff in a boreal watershed,
"
10877,"Differences in seasonality and temperature dependency of stand
"
36681,"MODELING TRANSPORT AND BIODEGRADATION OF BENZENE AND TOLUENE IN SANDY
"
979,"Modeling radar-rainfall estimation uncertainties using parametric and
"
39231,"Engineered injection and extraction to enhance reaction for improved in
"
39325,"Estimation of water retention parameters from nuclear magnetic resonance
"
1073,"Generalized dual porosity: A numerical method for representing spatially
"
10973,"Monitoring litter interception of rainfall using leaf wetness sensor
"
9530,"Spatiotemporal characteristics of precipitation and extreme events on
"
312,"Theoretical estimation of free and entrapped nonwetting-wetting fluid
"
30533,"THE POT MODEL DESCRIBED BY THE GENERALIZED PARETO DISTRIBUTION WITH
"
38028,"A new model for predicting relative nonwetting phase permeability from
"
52205,"Variable-density groundwater flow and solute transport in heterogeneous
"
4437,"Anthropogenic and catchment characteristic signatures in the water
"
44748,LH moments for statistical analysis of extreme events
9660,"Uncertainty of snow water equivalent retrieved from AMSR-E brightness
"
864,"Two-phase hydrodynamic and sediment transport modeling of wave-generated
"
4702,"Comparison of two model approaches in the Zambezi river basin with
"
3692,"Scaling, similarity, and the fourth paradigm for hydrology"
39972,"Modeling and analysis of evaporation processes from porous media on the
"
21,"Conditional simulations of flow in randomly heterogeneous porous media
"
10740,"Using high-resolution isotope data and alternative calibration
"
9297,Rethinking infiltration in wildfire-affected soils
2489,"Combined effect of rheology and confining boundaries on spreading of
"
2193,"Modelling the effect of wettability distributions on oil recovery from
"
9730,"Estimating source regions for snowmelt runoff in a Rocky Mountain basin:
"
9639,Validation of the Flood-PROOFS probabilistic forecasting system
59,Single collocation point methods for the advection-diffusion equation
2401,"Regional frequency analysis at ungauged sites using a two-stage
"
37987,"The role of tropical modes of variability in recent rainfall deficits
"
39159,Parameter and predictive outcomes of model simplification
39377,"Imaging high stage river-water intrusion into a contaminated aquifer
"
39283,"Estimating Escherichia coli loads in streams based on various physical,
"
38110,"The topographic signature of vegetation development along a braided
"
10074,"Determination of runoff components using path analysis and isotopic
"
6052,"An ecohydrological sketch of climate change impacts on water and natural
"
11312,Influence of land use on the persistence effect of riverine phosphorus
9624,"Discussion about the validity of sharp-interface models to deal with
"
520,"Improving the efficiency of ant algorithms using adaptive refinement:
"
1680,"Simulation of the subsurface mobility of carbon nanoparticles at the
"
967,"Stochastic analysis of bounded unsaturated flow in heterogeneous
"
2726,"Second-order accurate finite volume schemes with the discrete maximum
"
39198,"Telegraphic double porosity models for head transient behavior in
"
5557,"Seasonal prediction of winter extreme precipitation over Canada by
"
9685,"Characterizing rainfall-groundwater dynamics in a hard-rock aquifer
"
3155,"Algebraic multigrid preconditioners for two-phase flow in porous media
"
40508,"Hydration and diffusion processes shape microbial community organization
"
4997,"Mitigation of negative ecological and socio-economic impacts of the
"
6088,"Model-based estimation of pesticides and transformation products and
"
28006,"Unraveling controlling factors of concentration discharge relationships
"
5736,"DREAM((D)): an adaptive Markov Chain Monte Carlo simulation algorithm to
"
5549,Urban hydrology in mountainous middle eastern cities
40195,PERMEABILITY MEASUREMENTS ON NEW AND EQUITEMPERATURE SNOW
9818,"Including spatial distribution in a data-driven rainfall-runoff model to
"
38138,"Using time-lapse gravity for groundwater model calibration: An
"
40342,STATE-SPACE MODEL FOR RIVER TEMPERATURE PREDICTION
2659,"A 1D-2D Shallow Water Equations solver for discontinuous porosity field
"
32111,"Using the Gradient Boosting Decision Tree to Improve the Delineation of
"
5813,"Impacts of inhomogeneous landscapes in oasis interior on the oasis
"
3620,"Rainwater propagation through snowpack during rain-on-snow sprinkling
"
40315,"SIMULATION OF FLUID DISTRIBUTIONS OBSERVED AT A CRUDE-OIL SPILL SITE
"
39418,"Comment on ``Plume spreading in groundwater by stretching and
"
6087,"Influence of soil, land use and climatic factors on the hydraulic
"
39706,On the upscaling of chemical transport in fractured rock
3815,"Experimental study on retardation of a heavy NAPL vapor in partially
"
5593,"Mapping surface soil moisture over the Gourma mesoscale site (Mali) by
"
47873,"Modeling groundwater contaminant transport in the presence of large
"
38247,"Experimental and numerical evidence for intrinsic nonmigrating bars in
"
3559,"Does the GPM mission improve the systematic error component in satellite
"
6279,"COSMOS: the COsmic-ray Soil Moisture Observing System (vol 16, pg 4079,
"
3186,"Reproducing tailing in breakthrough curves: Are statistical models
"
10879,"Bedrock geology controls on catchment storage, mixing, and release: A
"
9436,"Long-term variability in the water budget and its controls in an
"
30973,"Comparing ERA-40-Based L-Band Brightness Temperatures with Skylab
"
2924,"A double-continuum transport model for segregated porous media:
"
6181,"Evidence of non-Darcy flow and non-Fickian transport in fractured media
"
3097,"Determination of the diffusivity, dispersion, skewness and kurtosis in
"
2873,"A numerical framework for two-phase flow of CO2 injection into fractured
"
27568,"Variability of soil surface characteristics in a mountainous watershed
"
2285,A transport phase diagram for pore-level correlated porous media
862,"Effect of mineral reactions on the hydraulic properties of unsaturated
"
